objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age
3.10209,K2-178 b,K2-178,8.747818,,,3.55790985,12.4,1.51,840.29,117.826,5525.0,-0.28382,0.95109,0.887267,0.09,4.55,
3.19225,HD 74698 c,HD 74698,3449.0,4.5,0.2,14.0,126.0,0.252,,0.088,5783.0,0.25285,1.039,1.333,0.07,4.12,7.847
3.12241,KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,,5.1,,12.7,2200.0,5.9,,,,,0.45,,,,
3.12499,GJ 1061 b,GJ 1061,3.204,0.021,0.31,1.1,1.37,5.66,,3.8,2953.0,-2.76955,0.12,0.156,-0.08,5.15856,7.0
3.2527,Kepler-102 b,Kepler-102,5.286965,0.05521,0.1,0.46,1.1,62.0,857.0,90.0,4909.0,-0.58436,0.803,0.724,0.11,4.6,1.1
3.4873,Kepler-1446 b,Kepler-1446,0.689967832,0.01405,0.0,0.82,0.477,4.75,1539.0,1213.333,4865.0,-0.65135,0.81,0.75,0.11,4.6,2.63
3.11632,HD 13908 b,HD 13908,19.382,0.154,0.02,13.9,274.91,0.562,,,6255.0,0.602,1.29,1.67,0.01,4.11,2.9
3.1432,HIP 9618 b,HIP 9618,20.772858,0.145,0.0,3.82838127,8.3,0.81,640.88,40.3,5649.0,-0.0716,0.942,0.9593,-0.018,4.445,5.6
3.12288,HD 202696 c,HD 202696,946.6,2.342,0.028,,592.43512,,,,5040.0,1.36922,1.91,6.43,0.02,3.11,1.32
3.5818,Kepler-1697 b,Kepler-1697,33.4969,0.2008,0.0,1.25954761,2.12,5.83,630.0,37.3,4681.53,-0.58813,0.747,0.772344,0.0341,4.53577,
3.1835,HD 11112 b,HD 11112,17244.90764,13.38,0.285,12.6,2598.56505563,7.14,,,5905.64,0.37657,1.07,1.47368,0.1869,4.13064,
3.1873,Kepler-1764 b,Kepler-1764,70.46829987,0.3512,0.0,4.55527871,18.8,1.09,511.0,16.17,6461.0,0.41465,1.162,1.131,-0.14,4.396,0.24
3.932,Kepler-674 b,Kepler-674,2.243381847,0.028,0.0,1.69,3.5,3.98,822.0,146.511,4192.0,-0.90665,0.6,0.57,-0.27,4.69,3.31
3.2816,Kepler-1269 b,Kepler-1269,37.3331536,0.23611,0.0,1.63,3.29,4.17,657.0,69.004,5998.0,0.5557,1.1,1.15,0.07,4.36,3.55
3.509,Kepler-634 b,Kepler-634,5.16950177,0.05765,0.0,1.89,4.23,3.44,1309.0,808.844,6075.0,0.42075,1.03,1.24,-0.18,4.26,5.37
3.4088,Kepler-1576 b,Kepler-1576,6.98471973,0.07211,0.0,1.04,1.12,5.47,1059.0,156.608,5876.0,-0.06329,1.05,1.06,0.05,4.4,4.07
3.11978,EPIC 211822797 b,EPIC 211822797,21.1701963,0.1195,0.06,1.92,4.35,3.38,431.0,3.5,4057.0,-1.15304,0.62,0.58,0.2,4.7,0.79
3.952,Kepler-681 b,Kepler-681,26.39435646,0.1635,0.0,3.08,9.69,1.82,489.0,14.151,5021.0,-0.45672,0.8,0.76,-0.04,4.58,5.01
3.251,Kepler-1796 b,Kepler-1796,29.4557991,0.1879,0.0,2.75047868,8.0,2.11,598.0,30.3,6036.0,0.11795,1.018,0.949,-0.16,4.491,0.4
3.175,Kepler-68 b,Kepler-68,5.39875259,0.06135,0.09,2.357,8.03,3.37,1275.0,441.0,5847.0,0.23106,1.057,1.2564,0.11,4.281,6.84
3.1793,Kepler-53 c,Kepler-53,38.5583038,0.22091,0.0,3.17,36.0,0.92,550.0,23.176,5858.0,0.03558,0.98,0.89,0.0,4.53,0.3
3.2069,Kepler-972 b,Kepler-972,7.03932553,0.0734,0.0,4.65,19.5,1.07,1060.0,266.514,6146.0,0.19129,1.15,1.22,0.04,4.33,2.82
3.5125,Kepler-1508 b,Kepler-1508,20.7056504,0.1629,0.0,1.33,2.33,5.44,967.0,116.145,6158.0,0.53713,1.14,1.22,0.01,4.32,2.69
3.2923,Kepler-1652 b,Kepler-1652,38.09722,0.1654,0.0,1.6,3.19,4.28,268.0,0.81,3638.0,-1.638,0.404,0.382,-0.3,4.878,3.2
3.3306,Kepler-352 b,Kepler-352,10.05537,0.085,0.0,0.86,0.566,4.89,694.0,50.389,5212.0,-0.43235,0.798,0.781,-0.11,4.566,1.7
3.2565,Kepler-293 c,Kepler-293,54.155743,0.286,0.0,3.83,14.0,1.37,466.0,7.287,5804.0,-0.23265,0.934,0.957,0.1,4.504,1.32
3.11183,HD 18742 b,HD 18742,766.0,1.82,0.04,13.1,1080.622,2.64,,,4940.0,1.14301,1.36,5.13,-0.04,3.09,2.3
3.18764,AF Lep b,AF Lep,8030.0,8.4,0.24,13.1,1017.0509024,2.49,1400.0,,6130.0,0.29,1.2,1.25,0.19,4.4,0.024
3.1536,Kepler-873 b,Kepler-873,20.5533844,0.1542,0.0,3.75,13.5,1.41,749.0,68.015,6163.0,0.13449,1.18,1.27,0.07,4.29,2.95
3.758,Kepler-731 b,Kepler-731,3.855603551,0.0505,0.0,13.88,,,1212.0,456.703,5849.0,0.03524,1.03,1.06,0.04,4.41,3.8
3.12496,TOI-125 d,TOI-125,19.98,0.137,0.168,2.93,13.6,2.98,638.1,26.7,5320.0,-0.28483,0.859,0.848,-0.02,4.516,6.8
